WDIR,WSPD,GST,WVHT,dts
,,,5.248,2023-06-11 13:26:00
,,,5.248,2023-06-11 12:56:00
,,,5.248,2023-06-11 12:26:00
,,,5.248,2023-06-11 11:56:00
,,,5.248,2023-06-11 11:26:00
,,,5.576,2023-06-11 10:56:00
,,,5.248,2023-06-11 10:26:00
,,,5.248,2023-06-11 09:56:00
,,,5.248,2023-06-11 09:26:00
,,,5.248,2023-06-11 08:56:00
,,,5.248,2023-06-11 08:26:00
,,,5.248,2023-06-11 07:56:00
,,,4.92,2023-06-11 07:26:00
,,,4.92,2023-06-11 06:56:00
,,,5.248,2023-06-11 06:26:00
,,,4.92,2023-06-11 05:56:00
,,,4.92,2023-06-11 05:26:00
,,,4.264,2023-06-11 04:56:00
,,,4.264,2023-06-11 04:26:00
,,,3.608,2023-06-11 03:56:00
,,,2.952,2023-06-11 03:26:00
,,,2.296,2023-06-11 02:56:00
,,,1.9679999999999997,2023-06-11 02:26:00
,,,1.312,2023-06-11 01:56:00
,,,,2023-06-11 01:26:00
,,,0.656,2023-06-11 00:56:00
,,,0.656,2023-06-11 00:26:00
,,,0.656,2023-06-10 23:56:00
,,,0.656,2023-06-10 23:26:00
,,,0.328,2023-06-10 22:56:00
,,,0.328,2023-06-10 22:26:00
,,,0.328,2023-06-10 21:56:00
,,,0.656,2023-06-10 21:26:00
,,,0.328,2023-06-10 20:56:00
,,,0.328,2023-06-10 20:26:00
,,,0.656,2023-06-10 19:56:00
,,,0.656,2023-06-10 19:26:00
,,,0.656,2023-06-10 18:56:00
,,,0.656,2023-06-10 18:26:00
,,,0.656,2023-06-10 17:56:00
,,,0.656,2023-06-10 17:26:00
,,,0.656,2023-06-10 16:56:00
,,,0.656,2023-06-10 16:26:00
,,,0.656,2023-06-10 15:56:00
,,,0.656,2023-06-10 15:26:00
,,,0.9839999999999999,2023-06-10 14:56:00
,,,0.9839999999999999,2023-06-10 14:26:00
,,,0.9839999999999999,2023-06-10 13:56:00
,,,0.9839999999999999,2023-06-10 13:26:00
,,,0.9839999999999999,2023-06-10 12:56:00
,,,0.9839999999999999,2023-06-10 12:26:00
,,,0.9839999999999999,2023-06-10 11:56:00
,,,1.312,2023-06-10 11:26:00
,,,1.312,2023-06-10 10:56:00
,,,1.312,2023-06-10 10:26:00
,,,1.312,2023-06-10 09:56:00
,,,1.312,2023-06-10 09:26:00
,,,1.64,2023-06-10 08:56:00
,,,1.312,2023-06-10 08:26:00
,,,0.9839999999999999,2023-06-10 07:56:00
,,,0.9839999999999999,2023-06-10 07:26:00
,,,0.9839999999999999,2023-06-10 06:56:00
,,,0.9839999999999999,2023-06-10 06:26:00
,,,0.9839999999999999,2023-06-10 05:56:00
,,,0.9839999999999999,2023-06-10 05:26:00
,,,0.656,2023-06-10 04:56:00
,,,0.656,2023-06-10 04:26:00
,,,0.656,2023-06-10 03:56:00
