WDIR,WSPD,GST,WVHT,dts
10.0,7.77536,9.7192,2.296,2023-06-16 11:30:00
30.0,9.7192,11.66304,2.296,2023-06-16 11:20:00
20.0,9.7192,11.66304,2.296,2023-06-16 11:10:00
20.0,9.7192,11.66304,2.624,2023-06-16 11:00:00
20.0,7.77536,9.7192,2.296,2023-06-16 10:50:00
20.0,7.77536,9.7192,2.296,2023-06-16 10:40:00
20.0,7.77536,9.7192,2.296,2023-06-16 10:30:00
20.0,7.77536,7.77536,2.296,2023-06-16 10:20:00
20.0,7.77536,9.7192,2.296,2023-06-16 10:10:00
20.0,7.77536,9.7192,2.296,2023-06-16 10:00:00
10.0,7.77536,9.7192,2.624,2023-06-16 09:50:00
10.0,7.77536,9.7192,2.624,2023-06-16 09:40:00
360.0,7.77536,9.7192,2.624,2023-06-16 09:30:00
350.0,7.77536,9.7192,2.624,2023-06-16 09:20:00
350.0,7.77536,9.7192,2.624,2023-06-16 09:10:00
350.0,7.77536,9.7192,2.952,2023-06-16 09:00:00
360.0,9.7192,11.66304,2.952,2023-06-16 08:50:00
360.0,9.7192,11.66304,2.624,2023-06-16 08:40:00
10.0,9.7192,11.66304,2.624,2023-06-16 08:30:00
10.0,7.77536,11.66304,2.952,2023-06-16 08:20:00
10.0,7.77536,9.7192,2.952,2023-06-16 08:10:00
10.0,7.77536,11.66304,2.952,2023-06-16 08:00:00
10.0,5.83152,9.7192,2.624,2023-06-16 07:50:00
10.0,7.77536,9.7192,2.952,2023-06-16 07:40:00
10.0,7.77536,9.7192,2.624,2023-06-16 07:30:00
20.0,5.83152,7.77536,2.952,2023-06-16 07:20:00
20.0,7.77536,11.66304,2.952,2023-06-16 07:10:00
20.0,7.77536,9.7192,2.952,2023-06-16 07:00:00
20.0,7.77536,9.7192,2.952,2023-06-16 06:50:00
20.0,7.77536,11.66304,3.28,2023-06-16 06:40:00
20.0,7.77536,11.66304,3.28,2023-06-16 06:30:00
10.0,9.7192,13.60688,3.28,2023-06-16 06:20:00
10.0,9.7192,11.66304,2.952,2023-06-16 06:10:00
10.0,9.7192,15.55072,3.28,2023-06-16 06:00:00
10.0,7.77536,9.7192,2.952,2023-06-16 05:50:00
360.0,7.77536,11.66304,3.28,2023-06-16 05:40:00
30.0,7.77536,9.7192,3.28,2023-06-16 05:30:00
20.0,9.7192,11.66304,3.28,2023-06-16 05:20:00
10.0,9.7192,15.55072,3.608,2023-06-16 05:10:00
10.0,11.66304,13.60688,3.608,2023-06-16 05:00:00
20.0,9.7192,13.60688,3.28,2023-06-16 04:50:00
20.0,9.7192,13.60688,3.608,2023-06-16 04:40:00
10.0,11.66304,13.60688,3.28,2023-06-16 04:30:00
10.0,11.66304,15.55072,3.608,2023-06-16 04:20:00
10.0,11.66304,15.55072,3.28,2023-06-16 04:10:00
10.0,11.66304,15.55072,3.28,2023-06-16 04:00:00
10.0,11.66304,13.60688,3.608,2023-06-16 03:50:00
10.0,11.66304,15.55072,3.28,2023-06-16 03:40:00
20.0,13.60688,15.55072,3.608,2023-06-16 03:30:00
20.0,13.60688,17.49456,3.28,2023-06-16 03:20:00
10.0,11.66304,15.55072,3.608,2023-06-16 03:10:00
10.0,13.60688,17.49456,3.28,2023-06-16 03:00:00
10.0,13.60688,17.49456,3.608,2023-06-16 02:50:00
10.0,13.60688,17.49456,3.28,2023-06-16 02:40:00
10.0,13.60688,17.49456,3.28,2023-06-16 02:30:00
360.0,13.60688,17.49456,3.28,2023-06-16 02:20:00
360.0,11.66304,15.55072,3.608,2023-06-16 02:10:00
360.0,13.60688,17.49456,3.28,2023-06-16 02:00:00
10.0,13.60688,17.49456,3.28,2023-06-16 01:50:00
10.0,13.60688,15.55072,3.28,2023-06-16 01:40:00
10.0,11.66304,15.55072,3.28,2023-06-16 01:30:00
10.0,13.60688,17.49456,3.28,2023-06-16 01:20:00
10.0,13.60688,15.55072,3.28,2023-06-16 01:10:00
360.0,11.66304,15.55072,3.28,2023-06-16 01:00:00
360.0,11.66304,15.55072,3.28,2023-06-16 00:50:00
360.0,11.66304,15.55072,3.608,2023-06-16 00:40:00
360.0,13.60688,15.55072,3.28,2023-06-16 00:30:00
360.0,11.66304,15.55072,3.608,2023-06-16 00:20:00
360.0,11.66304,13.60688,3.28,2023-06-16 00:10:00
360.0,9.7192,13.60688,3.28,2023-06-16 00:00:00
360.0,9.7192,13.60688,3.28,2023-06-15 23:50:00
