WDIR,WSPD,GST,WVHT,dts
,0.0,0.97192,,2023-06-09 01:10:00
320.0,0.97192,4.082064,,2023-06-09 01:00:00
310.0,4.082064,4.082064,,2023-06-09 00:50:00
320.0,4.082064,5.053984,,2023-06-09 00:40:00
350.0,2.91576,4.082064,,2023-06-09 00:30:00
310.0,4.082064,6.025904000000001,,2023-06-09 00:20:00
320.0,4.082064,6.025904000000001,,2023-06-09 00:10:00
310.0,7.9697439999999995,8.941664,,2023-06-09 00:00:00
310.0,6.9978240000000005,7.9697439999999995,,2023-06-08 23:50:00
300.0,6.9978240000000005,7.9697439999999995,,2023-06-08 23:40:00
300.0,7.9697439999999995,8.941664,,2023-06-08 23:30:00
300.0,7.9697439999999995,8.941664,,2023-06-08 23:20:00
310.0,7.9697439999999995,7.9697439999999995,,2023-06-08 23:10:00
300.0,6.9978240000000005,7.9697439999999995,,2023-06-08 23:00:00
300.0,6.025904000000001,7.9697439999999995,,2023-06-08 22:50:00
300.0,6.025904000000001,6.9978240000000005,,2023-06-08 22:40:00
290.0,5.053984,6.025904000000001,,2023-06-08 22:30:00
290.0,5.053984,6.025904000000001,,2023-06-08 22:20:00
280.0,4.082064,5.053984,,2023-06-08 22:10:00
300.0,5.053984,6.9978240000000005,,2023-06-08 22:00:00
300.0,5.053984,6.025904000000001,,2023-06-08 21:50:00
300.0,6.025904000000001,6.9978240000000005,,2023-06-08 21:40:00
300.0,6.9978240000000005,7.9697439999999995,,2023-06-08 21:30:00
300.0,6.025904000000001,7.9697439999999995,,2023-06-08 21:20:00
310.0,7.9697439999999995,8.941664,,2023-06-08 21:10:00
310.0,8.941664,9.913584,,2023-06-08 21:00:00
310.0,6.9978240000000005,8.941664,,2023-06-08 20:50:00
300.0,8.941664,9.913584,,2023-06-08 20:40:00
300.0,8.941664,8.941664,,2023-06-08 20:30:00
290.0,6.9978240000000005,7.9697439999999995,,2023-06-08 20:20:00
280.0,6.9978240000000005,7.9697439999999995,,2023-06-08 20:10:00
300.0,6.9978240000000005,7.9697439999999995,,2023-06-08 20:00:00
290.0,7.9697439999999995,7.9697439999999995,,2023-06-08 19:50:00
280.0,6.9978240000000005,7.9697439999999995,,2023-06-08 19:40:00
270.0,6.025904000000001,6.9978240000000005,,2023-06-08 19:30:00
290.0,6.9978240000000005,7.9697439999999995,,2023-06-08 19:20:00
280.0,6.025904000000001,6.9978240000000005,,2023-06-08 19:10:00
290.0,6.9978240000000005,7.9697439999999995,,2023-06-08 19:00:00
290.0,6.9978240000000005,7.9697439999999995,,2023-06-08 18:50:00
300.0,6.025904000000001,6.025904000000001,,2023-06-08 18:40:00
300.0,6.9978240000000005,7.9697439999999995,,2023-06-08 18:30:00
290.0,6.025904000000001,6.9978240000000005,,2023-06-08 18:20:00
300.0,6.025904000000001,6.9978240000000005,,2023-06-08 18:10:00
310.0,6.9978240000000005,7.9697439999999995,,2023-06-08 18:00:00
310.0,7.9697439999999995,8.941664,,2023-06-08 17:50:00
320.0,7.9697439999999995,8.941664,,2023-06-08 17:40:00
310.0,5.053984,6.025904000000001,,2023-06-08 17:30:00
300.0,5.053984,6.025904000000001,,2023-06-08 17:20:00
290.0,2.91576,4.082064,,2023-06-08 17:10:00
290.0,6.025904000000001,6.025904000000001,,2023-06-08 17:00:00
300.0,6.025904000000001,6.9978240000000005,,2023-06-08 16:50:00
310.0,6.9978240000000005,7.9697439999999995,,2023-06-08 16:40:00
320.0,6.9978240000000005,7.9697439999999995,,2023-06-08 16:30:00
320.0,6.9978240000000005,7.9697439999999995,,2023-06-08 16:20:00
320.0,5.053984,6.025904000000001,,2023-06-08 16:10:00
320.0,6.025904000000001,6.9978240000000005,,2023-06-08 16:00:00
320.0,4.082064,6.025904000000001,,2023-06-08 15:50:00
320.0,5.053984,6.025904000000001,,2023-06-08 15:40:00
310.0,7.9697439999999995,7.9697439999999995,,2023-06-08 15:30:00
310.0,6.9978240000000005,7.9697439999999995,,2023-06-08 15:20:00
310.0,4.082064,6.9978240000000005,,2023-06-08 15:10:00
300.0,6.025904000000001,6.025904000000001,,2023-06-08 15:00:00
310.0,6.025904000000001,6.025904000000001,,2023-06-08 14:50:00
300.0,6.025904000000001,6.025904000000001,,2023-06-08 14:40:00
310.0,5.053984,5.053984,,2023-06-08 14:30:00
300.0,5.053984,6.025904000000001,,2023-06-08 14:20:00
,0.0,2.91576,,2023-06-08 14:10:00
,0.0,0.0,,2023-06-08 14:00:00
,0.0,0.0,,2023-06-08 13:50:00
