WDIR,WSPD,GST,WVHT,dts
160.0,1.94384,3.88768,0.328,2023-06-18 12:40:00
180.0,1.94384,1.94384,0.328,2023-06-18 12:20:00
90.0,1.94384,1.94384,0.328,2023-06-18 12:00:00
80.0,1.94384,1.94384,0.328,2023-06-18 11:40:00
80.0,1.94384,1.94384,0.328,2023-06-18 11:20:00
70.0,3.88768,3.88768,0.328,2023-06-18 11:00:00
170.0,1.94384,1.94384,0.328,2023-06-18 10:40:00
170.0,1.94384,3.88768,0.328,2023-06-18 10:20:00
150.0,1.94384,3.88768,0.328,2023-06-18 10:00:00
160.0,1.94384,1.94384,0.328,2023-06-18 09:40:00
140.0,3.88768,3.88768,0.328,2023-06-18 09:20:00
140.0,1.94384,1.94384,0.328,2023-06-18 09:00:00
80.0,3.88768,3.88768,0.328,2023-06-18 08:40:00
70.0,1.94384,3.88768,0.328,2023-06-18 08:20:00
50.0,3.88768,5.83152,0.328,2023-06-18 08:00:00
80.0,3.88768,3.88768,0.328,2023-06-18 07:40:00
110.0,1.94384,1.94384,0.328,2023-06-18 07:20:00
90.0,1.94384,3.88768,0.328,2023-06-18 07:00:00
80.0,1.94384,3.88768,0.328,2023-06-18 06:40:00
100.0,1.94384,1.94384,0.328,2023-06-18 06:20:00
100.0,3.88768,3.88768,0.328,2023-06-18 06:00:00
110.0,3.88768,3.88768,0.328,2023-06-18 05:40:00
150.0,1.94384,1.94384,0.328,2023-06-18 05:20:00
170.0,1.94384,1.94384,0.328,2023-06-18 05:00:00
170.0,1.94384,1.94384,0.328,2023-06-18 04:40:00
180.0,1.94384,3.88768,0.328,2023-06-18 04:20:00
120.0,1.94384,3.88768,0.328,2023-06-18 04:00:00
130.0,1.94384,1.94384,0.328,2023-06-18 03:40:00
160.0,1.94384,1.94384,0.328,2023-06-18 03:20:00
,0.0,1.94384,0.328,2023-06-18 03:00:00
,0.0,1.94384,0.328,2023-06-18 02:40:00
,0.0,0.0,0.328,2023-06-18 02:20:00
,0.0,0.0,0.328,2023-06-18 02:00:00
,0.0,1.94384,0.328,2023-06-18 01:40:00
